,Common Ground,Label,Transcript
0,red =10,1,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um
1,red = blue,1,Needle goes over the red line that means they're probably equal
2,blue = 10,1,Yeah
3,green = red + blue,1,And that looks like it might be about even
4,green = 20,1,Yeah so that's probably twenty grams
5,red = 10 and blue = 10,1,The first two are ten
6,green = 20,1,So knowing that uh oh sorry the green one was yeah
7,purple = 30,1,So you know twenty plus ten thirty probably
8,purple = 30,1,Yeah yeah closest like
9,yellow > purple,1,Which is too much so we'll put twenty right
10,green = 20 and purple = 30,1,So that's the twenty and the thirty
11,yellow < green + purple,1,It's leaning towards one side a bit much
12,yellow > blue + purple,1,Ok
13,yellow = 50,1,Yeah and the thirty so fifty
14,red = 10,1,We will tell you that the weight of the red cube is ten grams
15,red = blue,1,I think they are same weight
16,green = 20,1,Sufficient to say that one's probably twenty or
17,purple = 30,1,The purple one is thirty
18,green = 20 and purple = 30 and yellow = 50,1,Green is twenty and purple is thirty so it weighs to fifty
19,green = 20,1,It's leaning more this side so
20,yellow < green + purple,1,It's leaning more this side so
21,yellow < green + purple,1,It's leaning more to the side
22,yellow != 10,1,Yellow is of course not ten but
23,yellow > green + blue + red,1,No so when we try these both 
24,yellow = 50,1,That is equivalent to the 
25,yellow != 30,1,It's for sure not thirty
26,yellow = 50,1,Fifty  
27,purple = 30 and yellow = 50,1,Thirty and yellow is fifty
28,red = 10,1,I will tell you that the red cube is ten grams
29,blue = 10,1,Well the top is a ten
30,green = 20,1,Is it ten and this was equal to this one
31,purple = 30,1,Can we yeah and it's obviously not forty
32,purple != 40,1,Can we yeah and it's obviously not forty
33,purple != 20,1,Well it's not and it's not twenty yeah it's gotta be thirty
34,purple = 30,1,Well it's not and it's not twenty yeah it's gotta be thirty
35,yellow = 50,1,Ok so we can say that this is fifty
36,blue = 10,1,Sixty right 
37,yellow = 50,1,And so that would mean yellow is fifty
38,red = 10,1,I can tell you that the red cube is ten grams
39,red = 10,1,So we know this is ten
40,red = blue,1,I'd say that's basically the same because it's teetering
41,red = 10 and blue = 10,1,So these are both ten   
42,green = 20,1,So that one's twenty
43,red = 10 and blue = 10 and green = 20,1,So these are both ten in theory ten ten twenty
44,green = 20,1,The green is twenty
45,purple > green,1,Which one is heavier
46,purple > 20,1,So we have twenty
47,purple = 30,1,What if I do this ok so less than forty likely thirty ok
48,purple = 30 and green = 20,1,Plus twenty
49,yellow = 50,1,Yeah I'd make it a five if we had a five option 
50,yellow = 50,1,Yellow fifty
51,yellow = 50 and purple = 30,1,I think that's fifty
52,purple = 30,1,And that one's thirty thirty
53,red = 10,1,I will tell you that the red cube is ten grams
54,red = 10,1,We got red ten
55,red = blue,1,Seems like it might be about the same
56,purple > red + blue,1,Too heavy so
57,green = 20,1,That's looking pretty even
58,red = 10 and green = 20,1,It's just different at the bottom that's a so that's a ten and a twenty right now right that's looking
59,purple > 20 and purple < 30,1,Ok so it's more than twenty but it almost seems like the thirty takes it past but
60,purple = 30,1,I think it could also be the position
61,yellow = 50,1,Fifty
62,yellow < 50,1,Yeah that's considerably heavier so this one did we say this was thirty
63,purple = 30 and green = 20,1,Yeah that's thirty green is twenty
64, red = 10 and blue = 10,1,Red and small blue are both ten
65,yellow < purple + green,1,But it's too heavy
66,purple + green = 50,1,Yeah green and big blue
67,purple + blue = 40,1,Big blue was forty
68,yellow = 50,1,I would say that it is at least closest to fifty
69,red = 10,1,You will determine the weights of the remaining cubes using the scale here
70,blue = 10,1,It seems to be ten
71,green = 20,1,Okay
72,green + red + blue = 40,1,This is
73,purple = 30,1,Yup
74,green = 20 and purple = 30,1,so is twenty plus
75,yellow = 50,1,Yeah I think fifty seems right
76,yellow = 50,1,So now we've kind of destructed everything
77,yellow = 50,1,That is correct
78,yellow = 50 and purple = 30 and blue = 10,1,Without using
79,green = 20,1,Yeah green is for twenty
80,purple = 30,1,So twenty that's thirty
81,yellow < purple + green,1,Oh that's too left
82,yellow > 40,1,Oh it's more than forty
83,40 < yellow < 50,1,Between forty and fifty
84,yellow > 40,1,Yeah it's more than forty
85,40 < yellow > 50,1,But we don't and less than fifty actually
86,yellow < 50,1,Fifty is too heavy
87,yellow=41,1,So it's forty one
88,yellow = 49,1,Minus one forty nine
89,yellow = 50,1,Ok so it's probably meant to be just fifty and was placed differently
90,red = 10,1,The red cube is ten grams
91,red = blue,1,I would say that's equal probably
92,green = red + blue,1,Yeah it's probably equal
93,red = 10 and blue = 10,1,So we got ten ten
94,green != purple,1,Definitely not equal
95,green = 20 and blue = 10,1,That was twenty ten yep
96,purple = 30,1,I think yep
97,yellow = purple + green,1,I think it's sixty so this one was twenty
98,purple = 30 and yellow = 50,1,This one was thirty so this should be fifty less
99,red = 10,1,I will tell you that the red cube is ten grams.
100,green = 20 and blue = 10 and red = 10,1,I guess this is like twenty and this is like ten and ten.
101,red = blue,1,It looks like they're fairly equal.
102,green = 20 and red = 10 and blue = 10,1,Right so then that's twenty these two are ten.
103,red = blue,1,Yeah they're together.
104,purple > green,1,I can already tell this one's heavier yeah.
105,purple = green + red,1,Those are the instructions I suppose
106,purple > green + red,1,no we didn't
107,purple = around 30,1,Thirty yeah
108,purple = 30 and green = 20 and yellow = 50,1,Twenty okay so this one's gonna be fifty okay.
109,yellow < 50,1,Oh.
110,yellow = 50,1,But there's no like I mean between weights so fifty.
111,yellow < 50,1,This is like less than fifty less than fifty.
112,yellow < 50,1,Yeah yeah it's it's almost settled down so it's less than fifty
113,yellow = 50,1,Oh yeah this is fifty grams 
114,purple = 30 and green = 20 and red = 10 and blue = 10,1,Thirty this was twenty and these are tens
115,red block equals ten and green block equals forty and yellow block equals twenty,0,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um
116,green block equals forty and purple block equals fifty and yellow block equals twenty,0,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um
117,red block equals thirty and green block equals forty and yellow block equals fifty,0,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um
118,blue block equals ten and green block equals thirty and yellow block equals forty,0,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um
119,blue block equals fifty and purple block equals thirty and yellow block equals ten,0,Needle goes over the red line that means they're probably equal
120,green block equals thirty and purple block equals forty and yellow block equals fifty,0,Needle goes over the red line that means they're probably equal
121,blue block is more than thirty,0,Needle goes over the red line that means they're probably equal
122,blue block equals ten and green block equals fifty and yellow block equals forty,0,Needle goes over the red line that means they're probably equal
123,red block equals twenty and green block equals twenty and purple block equals forty,0,Yeah
124,green block equals forty and purple block equals fifty and yellow block equals thirty,0,Yeah
125,blue block equals twenty and green block equals ten and purple block equals ten,0,Yeah
126,red block equals twenty and purple block equals ten and yellow block equals forty,0,Yeah
127,red block equals fifty and blue block equals ten and green block equals ten,0,And that looks like it might be about even
128,red block equals twenty and blue block equals forty and yellow block equals thirty,0,And that looks like it might be about even
129,blue block is less than red block plus green block plus yellow block,0,And that looks like it might be about even
130,yellow block is more than blue block plus green block,0,And that looks like it might be about even
131,green block equals thirty and purple block equals twenty and yellow block equals forty,0,Yeah so that's probably twenty grams
132,green block equals thirty and purple block equals forty and yellow block equals twenty,0,Yeah so that's probably twenty grams
133,purple block is more than green block,0,Yeah so that's probably twenty grams
134,blue block equals twenty and purple block equals twenty and yellow block equals forty,0,Yeah so that's probably twenty grams
135,purple block does not equal red block,0,The first two are ten
136,blue block equals thirty and green block equals fifty and purple block equals twenty,0,The first two are ten
137,purple block is more than blue block plus green block plus yellow block,0,The first two are ten
138,blue block equals fifty and green block equals thirty and yellow block equals fifty,0,The first two are ten
139,yellow block equals red block plus blue block plus green block,0,So knowing that uh oh sorry the green one was yeah
140,blue block equals fifty and green block equals ten and yellow block equals ten,0,So knowing that uh oh sorry the green one was yeah
141,red block equals thirty and blue block equals fifty and purple block equals thirty,0,So knowing that uh oh sorry the green one was yeah
142,red block equals fifty and green block equals fifty and purple block equals ten,0,So knowing that uh oh sorry the green one was yeah
143,red block equals ten and blue block equals thirty and purple block equals twenty,0,So you know twenty plus ten thirty probably
144,red block is more than blue block plus green block,0,So you know twenty plus ten thirty probably
145,blue block equals fifty and green block equals ten and yellow block equals forty,0,So you know twenty plus ten thirty probably
146,green block equals thirty,0,So you know twenty plus ten thirty probably
147,green block equals thirty and purple block equals ten and yellow block equals fifty,0,Yeah yeah closest like
148,red block equals fifty and blue block equals fifty and yellow block equals thirty,0,Yeah yeah closest like
149,blue block equals thirty and green block equals ten and yellow block equals thirty,0,Yeah yeah closest like
150,red block is more than fifty,0,Yeah yeah closest like
151,red block equals green block plus purple block,0,Which is too much so we'll put twenty right
152,green block equals red block plus blue block,0,Which is too much so we'll put twenty right
153,red block equals forty and green block equals thirty and yellow block equals thirty,0,Which is too much so we'll put twenty right
154,red block equals ten and green block equals fifty and purple block equals fifty,0,Which is too much so we'll put twenty right
155,red block equals blue block plus green block plus purple block plus yellow block,0,So that's the twenty and the thirty
156,red block equals thirty and blue block equals thirty and green block equals thirty,0,So that's the twenty and the thirty
157,blue block equals fifty and green block equals ten and yellow block equals ten,0,So that's the twenty and the thirty
158,red block equals yellow block,0,So that's the twenty and the thirty
159,green block does not equal blue block,0,It's leaning towards one side a bit much
160,red block equals ten and blue block equals ten and yellow block equals fifty,0,It's leaning towards one side a bit much
161,blue block is more than red block plus green block plus purple block plus yellow block,0,It's leaning towards one side a bit much
162,blue block equals thirty and green block equals ten and yellow block equals twenty,0,It's leaning towards one side a bit much
163,green block is less than yellow block,0,Ok
164,red block equals forty and blue block equals thirty and purple block equals twenty,0,Ok
165,blue block does not equal red block plus green block,0,Ok
166,green block equals forty and purple block equals twenty and yellow block equals forty,0,Ok
167,red block equals thirty and blue block equals fifty and purple block equals twenty,0,Yeah and the thirty so fifty
168,red block equals ten and blue block equals fifty and green block equals fifty,0,Yeah and the thirty so fifty
169,green block is less than forty,0,Yeah and the thirty so fifty
170,blue block equals forty and purple block equals fifty and yellow block equals fifty,0,Yeah and the thirty so fifty
171,red block equals thirty and blue block equals ten and purple block equals twenty,0,We will tell you that the weight of the red cube is ten grams
172,blue block equals twenty and purple block equals fifty and yellow block equals forty,0,We will tell you that the weight of the red cube is ten grams
173,green block equals fifty and purple block equals thirty and yellow block equals forty,0,We will tell you that the weight of the red cube is ten grams
174,blue block equals twenty and green block equals forty and purple block equals forty,0,We will tell you that the weight of the red cube is ten grams
175,red block equals forty and blue block equals fifty and green block equals ten,0,I think they are same weight
176,red block equals thirty and green block equals twenty and purple block equals fifty,0,I think they are same weight
177,green block equals forty and purple block equals thirty and yellow block equals fifty,0,I think they are same weight
178,red block equals fifty and blue block equals thirty and purple block equals thirty,0,I think they are same weight
179,red block equals twenty and blue block equals twenty and yellow block equals thirty,0,Sufficient to say that one's probably twenty or
180,blue block equals fifty and green block equals forty and purple block equals forty,0,Sufficient to say that one's probably twenty or
181,blue block equals twenty and green block equals forty and yellow block equals forty,0,Sufficient to say that one's probably twenty or
182,blue block equals forty and green block equals fifty and purple block equals fifty,0,Sufficient to say that one's probably twenty or
183,red block does not equal blue block plus purple block,0,The purple one is thirty
184,red block equals twenty and blue block equals fifty and yellow block equals ten,0,The purple one is thirty
185,blue block equals fifty and purple block equals ten and yellow block equals forty,0,The purple one is thirty
186,red block equals fifty and blue block equals forty and green block equals forty,0,The purple one is thirty
187,yellow block is less than red block,0,Green is twenty and purple is thirty so it weighs to fifty
188,red block equals twenty and blue block equals forty and green block equals thirty,0,Green is twenty and purple is thirty so it weighs to fifty
189,blue block equals twenty and green block equals thirty and purple block equals forty,0,Green is twenty and purple is thirty so it weighs to fifty
190,yellow block equals red block,0,Green is twenty and purple is thirty so it weighs to fifty
191,blue block equals thirty and green block equals twenty and yellow block equals forty,0,It's leaning more this side so
192,blue block equals twenty and purple block equals forty and yellow block equals forty,0,It's leaning more this side so
193,red block equals thirty and blue block equals thirty and green block equals ten,0,It's leaning more this side so
194,purple block is more than yellow block,0,It's leaning more this side so
195,blue block equals fifty and green block equals ten and yellow block equals fifty,0,It's leaning more this side so
196,blue block equals thirty and green block equals forty and purple block equals ten,0,It's leaning more this side so
197,green block equals purple block,0,It's leaning more this side so
198,blue block equals forty and purple block equals twenty and yellow block equals forty,0,It's leaning more this side so
199,red block equals fifty and purple block equals ten and yellow block equals forty,0,It's leaning more to the side
200,blue block equals forty and green block equals thirty and yellow block equals fifty,0,It's leaning more to the side
201,red block equals thirty and green block equals fifty and purple block equals thirty,0,It's leaning more to the side
202,red block equals fifty and blue block equals forty and purple block equals ten,0,It's leaning more to the side
203,red block equals fifty and green block equals twenty and purple block equals twenty,0,Yellow is of course not ten but
204,red block equals forty and blue block equals thirty and green block equals twenty,0,Yellow is of course not ten but
205,green block equals fifty and purple block equals thirty and yellow block equals twenty,0,Yellow is of course not ten but
206,red block equals forty and green block equals forty and yellow block equals twenty,0,Yellow is of course not ten but
207,green block is more than red block plus yellow block,0,No so when we try these both 
208,red block equals twenty and blue block equals thirty and green block equals forty,0,No so when we try these both 
209,red block equals fifty and green block equals thirty and yellow block equals forty,0,No so when we try these both 
210,blue block equals ten and green block equals ten and purple block equals fifty,0,No so when we try these both 
211,green block does not equal red block plus blue block plus purple block,0,That is equivalent to the 
212,red block equals thirty and blue block equals thirty and yellow block equals forty,0,That is equivalent to the 
213,red block equals twenty and green block equals thirty and yellow block equals twenty,0,That is equivalent to the 
214,red block equals ten and purple block equals twenty and yellow block equals twenty,0,That is equivalent to the 
215,purple block does not equal blue block,0,It's for sure not thirty
216,red block equals thirty and blue block equals ten and yellow block equals fifty,0,It's for sure not thirty
217,red block equals forty and blue block equals twenty and yellow block equals fifty,0,It's for sure not thirty
218,red block equals fifty and green block equals twenty and yellow block equals forty,0,It's for sure not thirty
219,blue block equals ten and green block equals twenty and yellow block equals thirty,0,Fifty  
220,blue block equals fifty and green block equals ten and yellow block equals fifty,0,Fifty  
221,yellow block is less than red block plus blue block plus green block,0,Fifty  
222,purple block equals thirty,0,Fifty  
223,blue block equals ten and green block equals ten and yellow block equals fifty,0,Thirty and yellow is fifty
224,green block equals twenty and purple block equals thirty and yellow block equals twenty,0,Thirty and yellow is fifty
225,purple block equals thirty,0,Thirty and yellow is fifty
226,red block equals twenty and blue block equals fifty and green block equals forty,0,Thirty and yellow is fifty
227,blue block equals ten and purple block equals twenty and yellow block equals twenty,0,I will tell you that the red cube is ten grams
228,blue block equals fifty and purple block equals ten and yellow block equals thirty,0,I will tell you that the red cube is ten grams
229,blue block equals thirty and green block equals ten and purple block equals ten,0,I will tell you that the red cube is ten grams
230,blue block equals twenty and green block equals forty and purple block equals twenty,0,I will tell you that the red cube is ten grams
231,green block equals ten and purple block equals forty and yellow block equals ten,0,Well the top is a ten
232,green block equals red block,0,Well the top is a ten
233,blue block does not equal purple block,0,Well the top is a ten
234,red block equals forty and blue block equals ten and green block equals forty,0,Well the top is a ten
235,green block equals forty and purple block equals fifty and yellow block equals fifty,0,Is it ten and this was equal to this one
236,red block equals thirty and blue block equals forty and yellow block equals fifty,0,Is it ten and this was equal to this one
237,red block equals forty and blue block equals ten and green block equals twenty,0,Is it ten and this was equal to this one
238,red block equals thirty and green block equals thirty and yellow block equals ten,0,Is it ten and this was equal to this one
239,red block equals twenty and blue block equals forty and green block equals twenty,0,Can we yeah and it's obviously not forty
240,red block equals forty and blue block equals forty and purple block equals ten,0,Can we yeah and it's obviously not forty
241,blue block equals ten and green block equals ten and purple block equals forty,0,Can we yeah and it's obviously not forty
242,red block equals fifty and blue block equals ten and green block equals thirty,0,Can we yeah and it's obviously not forty
243,blue block equals fifty and green block equals ten and yellow block equals fifty,0,Can we yeah and it's obviously not forty
244,red block equals twenty and green block equals forty and purple block equals forty,0,Can we yeah and it's obviously not forty
245,red block equals twenty and green block equals thirty and yellow block equals fifty,0,Can we yeah and it's obviously not forty
246,red block equals thirty and green block equals thirty and yellow block equals fifty,0,Can we yeah and it's obviously not forty
247,blue block equals forty and green block equals thirty and purple block equals thirty,0,Well it's not and it's not twenty yeah it's gotta be thirty
248,blue block equals thirty and purple block equals ten and yellow block equals fifty,0,Well it's not and it's not twenty yeah it's gotta be thirty
249,red block equals fifty and green block equals ten and purple block equals thirty,0,Well it's not and it's not twenty yeah it's gotta be thirty
250,red block equals ten and blue block equals fifty and purple block equals forty,0,Well it's not and it's not twenty yeah it's gotta be thirty
251,yellow block does not equal red block plus green block plus purple block,0,Well it's not and it's not twenty yeah it's gotta be thirty
252,blue block equals forty and green block equals fifty and yellow block equals forty,0,Well it's not and it's not twenty yeah it's gotta be thirty
253,blue block equals twenty and green block equals thirty and yellow block equals forty,0,Well it's not and it's not twenty yeah it's gotta be thirty
254,red block equals fifty and green block equals twenty and purple block equals twenty,0,Well it's not and it's not twenty yeah it's gotta be thirty
255,red block equals thirty and blue block equals twenty and purple block equals forty,0,Ok so we can say that this is fifty
256,red block equals fifty and blue block equals forty and yellow block equals thirty,0,Ok so we can say that this is fifty
257,red block equals thirty and blue block equals twenty and purple block equals forty,0,Ok so we can say that this is fifty
258,red block equals ten and blue block equals fifty and green block equals thirty,0,Ok so we can say that this is fifty
259,red block equals forty and blue block equals forty and purple block equals forty,0,Sixty right 
260,red block equals forty and blue block equals thirty and purple block equals ten,0,Sixty right 
261,purple block equals red block,0,Sixty right 
262,purple block equals ten,0,Sixty right 
263,green block equals twenty and purple block equals ten and yellow block equals ten,0,And so that would mean yellow is fifty
264,blue block equals thirty and green block equals fifty and yellow block equals fifty,0,And so that would mean yellow is fifty
265,red block equals fifty and green block equals fifty and yellow block equals thirty,0,And so that would mean yellow is fifty
266,red block equals twenty and green block equals twenty and purple block equals fifty,0,And so that would mean yellow is fifty
267,red block equals forty and purple block equals thirty and yellow block equals twenty,0,I can tell you that the red cube is ten grams
268,blue block equals thirty and green block equals fifty and purple block equals twenty,0,I can tell you that the red cube is ten grams
269,red block equals forty and blue block equals ten and purple block equals fifty,0,I can tell you that the red cube is ten grams
270,blue block equals twenty,0,I can tell you that the red cube is ten grams
271,blue block equals twenty and green block equals twenty and yellow block equals thirty,0,So we know this is ten
272,red block equals twenty and green block equals twenty and purple block equals forty,0,So we know this is ten
273,blue block equals twenty and purple block equals twenty and yellow block equals twenty,0,So we know this is ten
274,red block equals ten and blue block equals thirty and yellow block equals fifty,0,So we know this is ten
275,green block is less than red block plus blue block plus purple block,0,I'd say that's basically the same because it's teetering
276,red block equals ten and green block equals fifty and yellow block equals thirty,0,I'd say that's basically the same because it's teetering
277,red block equals twenty and blue block equals fifty and green block equals fifty,0,I'd say that's basically the same because it's teetering
278,blue block equals thirty and purple block equals fifty and yellow block equals thirty,0,I'd say that's basically the same because it's teetering
279,red block equals forty and purple block equals thirty and yellow block equals fifty,0,So these are both ten   
280,green block equals ten and purple block equals forty and yellow block equals fifty,0,So these are both ten   
281,blue block equals twenty and green block equals twenty and yellow block equals fifty,0,So these are both ten   
282,red block equals forty and green block equals forty and yellow block equals fifty,0,So these are both ten   
283,red block equals ten and purple block equals fifty and yellow block equals thirty,0,So that one's twenty
284,blue block equals thirty and green block equals thirty and yellow block equals twenty,0,So that one's twenty
285,blue block equals forty and purple block equals thirty and yellow block equals fifty,0,So that one's twenty
286,green block equals fifty and purple block equals thirty and yellow block equals ten,0,So that one's twenty
287,red block equals forty and green block equals twenty and purple block equals forty,0,So these are both ten in theory ten ten twenty
288,blue block is more than forty,0,So these are both ten in theory ten ten twenty
289,red block equals twenty and blue block equals ten and yellow block equals forty,0,So these are both ten in theory ten ten twenty
290,blue block equals thirty,0,So these are both ten in theory ten ten twenty
291,red block equals green block plus purple block plus yellow block,0,The green is twenty
292,red block equals fifty and blue block equals ten and green block equals forty,0,The green is twenty
293,red block equals forty and green block equals thirty and yellow block equals thirty,0,The green is twenty
294,red block equals thirty and green block equals twenty and yellow block equals twenty,0,The green is twenty
295,red block equals twenty and blue block equals fifty and yellow block equals forty,0,Which one is heavier
296,red block equals fifty and blue block equals forty and yellow block equals thirty,0,Which one is heavier
297,red block equals forty and blue block equals ten and yellow block equals fifty,0,Which one is heavier
298,yellow block is less than red block plus blue block plus purple block,0,Which one is heavier
299,blue block equals ten and purple block equals thirty and yellow block equals ten,0,So we have twenty
300,red block equals thirty,0,So we have twenty
301,red block equals ten and green block equals thirty and purple block equals ten,0,So we have twenty
302,red block equals fifty and blue block equals twenty and green block equals fifty,0,So we have twenty
303,yellow block is more than purple block,0,What if I do this ok so less than forty likely thirty ok
304,purple block is more than blue block plus green block plus yellow block,0,What if I do this ok so less than forty likely thirty ok
305,green block equals blue block,0,What if I do this ok so less than forty likely thirty ok
306,purple block is less than forty,0,What if I do this ok so less than forty likely thirty ok
307,red block equals fifty and blue block equals forty and purple block equals ten,0,Plus twenty
308,red block is less than green block plus purple block,0,Plus twenty
309,green block equals ten and purple block equals ten and yellow block equals fifty,0,Plus twenty
310,green block equals thirty and purple block equals ten and yellow block equals thirty,0,Plus twenty
311,red block equals twenty and green block equals forty and purple block equals thirty,0,Yeah I'd make it a five if we had a five option 
312,red block equals fifty and blue block equals ten and purple block equals forty,0,Yeah I'd make it a five if we had a five option 
313,red block equals twenty and green block equals fifty and purple block equals forty,0,Yeah I'd make it a five if we had a five option 
